id,title,company,location,job_description,skills,role
1578,Data Analyst (Lead),CloudNine,Toronto,We are hiring! Come build the future with our industry leading team.,"Power BI, Tableau",Data Analyst
1108,Android Developer (Junior),StartupX,New York,Open position: Android Developer with competitive compensation.,"Android Studio, REST API, Firebase",Android Developer
7099,Technical Support Engineer (Lead),FutureSoft,Singapore,We are hiring! Come build the future with our industry leading team.,"Technical Knowledge, Microsoft Office, Social Media, Attention to Detail, Basic HTML, Linux, Communication",Technical Support Engineer
2998,Cloud Engineer (Lead),MegaSoft,Berlin,Open position: Cloud Engineer with competitive compensation.,"Public Speaking, Organization, Microsoft Office, Adaptability, Attention to Detail, Time Management, Linux",Cloud Engineer
4698,QA Engineer (Lead),AppMasters,London,Open position: QA Engineer with competitive compensation.,"Team Work, Customer Focus, Trello, Git, Selenium, Excel, Asana, Test Cases, API Testing, Data Entry, Customer Service, WordPress, Python",QA Engineer
7815,Integration Architect (Senior),NextGen,San Francisco,Open position: Integration Architect with competitive compensation.,"Public Speaking, Middleware, Organization, Cloud, SOAP, Event-Driven, Analytical Skills, Presentation Skills, Basic HTML, Emotional Intelligence",Integration Architect
8277,Robotics Engineer (Lead),NetPro,San Francisco,"Join our team to work on cross-functional, high-impact deliverables.","Control Systems, C++",Robotics Engineer
9877,Help Desk Technician (Principal),CloudFirst,Denver,Seeking a detail-oriented expert with a proven track record of success.,"Windows, Documentation, Self-Motivated, Work Ethic, Basic HTML, Customer Service, Hardware",Help Desk Technician
2561,AI Product Manager (Junior),InnovateTech,Chicago,We are hiring! Come build the future with our industry leading team.,Machine Learning,AI Product Manager
2159,AI Research Scientist (Junior),MegaSoft,Boston,Join us as a AI Research Scientist and work on cutting-edge technology.,"TensorFlow, Cross-functional, Machine Learning, Trello, Research, Deep Learning, Excel, Negotiation, Social Media, Editing, Publications, NLP, Zoom, Python",AI Research Scientist
