id,title,company,location,job_description,skills,role
178,Machine Learning Engineer (Senior),WebWorks,Chicago,Join us as a Machine Learning Engineer and work on cutting-edge technology.,"Kubernetes, AWS SageMaker, Docker, PyTorch, Feature Engineering, Machine Learning, Model Deployment, Python",Machine Learning Engineer
921,Technology Consultant (Senior),DevHub,Los Angeles,Looking for a skilled Technology Consultant to join our team.,"Digital Transformation, Agile, Cloud, Project Management, Strategy, Technology Consulting, Analytics",Technology Consultant
702,Support Engineer (Senior),TechCorp,San Francisco,Support Engineer position with growth opportunities.,"Documentation, Linux, Customer Service, Technical Support, SQL, Escalation Management, Ticketing Systems",Support Engineer
537,UX Researcher (Lead),MegaSoft,Berlin,Looking for a skilled UX Researcher to join our team.,"Personas, Communication, Surveys, A/B Testing, UX, Usability Testing, User Journey, Data Analysis, Analytics",UX Researcher
674,Technical Writer (Principal),AppMasters,Denver,Join us as a Technical Writer and work on cutting-edge technology.,"DITA, Documentation, Developer Experience, ReadTheDocs, Technical Writing, Confluence, API Documentation, Git, Content Strategy, Markdown",Technical Writer
712,Solutions Architect (Principal),AppMasters,Berlin,Solutions Architect position with growth opportunities.,"Architecture, Problem Solving, Cloud, Azure, System Design, Integration, Cost Optimization, AWS, Microservices, Technical Leadership, Security, Communication",Solutions Architect
107,Android Developer (Junior),CodeFactory,Toronto,Android Developer position with growth opportunities.,"REST API, Android Studio, Jetpack Compose, MVVM, Firebase, Java, Kotlin, Gradle, Android, XML",Android Developer
800,IoT Developer (Lead),GlobalTech,London,We need an experienced IoT Developer for exciting projects.,"Arduino, Sensors, Cloud, Embedded Systems, C, IoT, Raspberry Pi",IoT Developer
727,Enterprise Architect (Lead),AIVentures,San Francisco,Join us as a Enterprise Architect and work on cutting-edge technology.,"Digital Transformation, Enterprise Architecture, Integration, Governance, Strategy, Solution Design, TOGAF, Business Analysis",Enterprise Architect
179,Machine Learning Engineer (Senior),SmartSolutions,Boston,We need an experienced Machine Learning Engineer for exciting projects.,"Kubernetes, AWS SageMaker, Docker, MLOps, PyTorch, Feature Engineering, Machine Learning, Model Deployment, Python",Machine Learning Engineer
196,Computer Vision Engineer (Senior),CloudFirst,Seattle,We need an experienced Computer Vision Engineer for exciting projects.,"YOLO, Communication, Leadership, CNN, Object Detection, OpenCV, Python, Deep Learning",Computer Vision Engineer
948,IT Administrator (Principal),DataDriven,Berlin,We need an experienced IT Administrator for exciting projects.,"Linux, Agile, Troubleshooting, Office 365, Windows, Active Directory, Security, Support, Team Work",IT Administrator
140,AI/ML Engineer (Mid-level),DevHub,New York,Looking for a skilled AI/ML Engineer to join our team.,"Computer Vision, NumPy, PyTorch, NLP, Keras, Pandas, Scikit-learn, Machine Learning, Python, Deep Learning",AI/ML Engineer
827,CTO (Mid-level),NextGen,Austin,We need an experienced CTO for exciting projects.,"Digital Transformation, Leadership, Technology Strategy, Innovation, Vendor Management, Budget Management, Security, Communication",CTO
828,CTO (Senior),TechCorp,Bangalore,Join us as a CTO and work on cutting-edge technology.,"Architecture, Technology Strategy, Digital Transformation, Team Building, Vendor Management, Budget Management, Security",CTO
863,Growth Engineer (Principal),CloudFirst,Toronto,Growth Engineer position with growth opportunities.,"Leadership, Agile, A/B Testing, Experimentation, Marketing Automation, SQL, JavaScript, Data Analysis, Analytics",Growth Engineer
636,Business Analyst (Junior),SmartSolutions,Denver,We need an experienced Business Analyst for exciting projects.,"Documentation, User Stories, Leadership, Stakeholder Management, Excel, Communication, Data Analysis, Requirements Gathering",Business Analyst
816,Engineering Manager (Senior),AIVentures,Seattle,Engineering Manager position with growth opportunities.,"Hiring, People Management, Project Planning, Stakeholder Management, Performance Reviews, Agile, Career Development, Technical Background, Team Leadership",Engineering Manager
479,Performance Engineer (Junior),DataDriven,Boston,Join us as a Performance Engineer and work on cutting-edge technology.,"APM, Performance Testing, Optimization, Profiling, New Relic, JMeter, Gatling, Monitoring",Performance Engineer
6,Full Stack Developer (Senior),InnovateTech,Seattle,Looking for a skilled Full Stack Developer to join our team.,"REST API, PostgreSQL, Docker, SQL, JavaScript, Node.js, React, Python",Full Stack Developer
610,Agile Coach (Principal),CloudFirst,Berlin,Join us as a Agile Coach and work on cutting-edge technology.,"Agile, Organizational Change, Lean, Transformation, Team Building, Coaching, SAFe, Facilitation, Scrum",Agile Coach
869,Growth Engineer (Lead),DevHub,Bangalore,Looking for a skilled Growth Engineer to join our team.,"A/B Testing, Experimentation, Marketing Automation, Growth, JavaScript, Data Analysis, Analytics",Growth Engineer
753,Integration Architect (Principal),DataMind,London,Join us as a Integration Architect and work on cutting-edge technology.,"Architecture, REST, Problem Solving, Cloud, Integration, Microservices, Event-Driven, ESB, Middleware, API",Integration Architect
442,Database Architect (Junior),DataMind,Boston,Database Architect position with growth opportunities.,"Architecture, MySQL, PostgreSQL, Scalability, Performance, Database Design, NoSQL, SQL, Data Modeling, Data Warehousing",Database Architect
145,Data Scientist (Mid-level),GlobalTech,Seattle,Data Scientist position with growth opportunities.,"Agile, NumPy, Pandas, Excel, SQL, Statistics, Tableau",Data Scientist
951,Help Desk Technician (Mid-level),WebWorks,Berlin,Help Desk Technician position with growth opportunities.,"Ticketing, Documentation, Software Installation, Troubleshooting, Windows, Technical Support, Active Directory, Hardware",Help Desk Technician
675,Technical Writer (Mid-level),NextGen,Bangalore,Join us as a Technical Writer and work on cutting-edge technology.,"Documentation, Team Work, ReadTheDocs, Developer Experience, Technical Writing, Confluence, API Documentation, Git, Content Strategy, Communication, Markdown",Technical Writer
625,Product Owner (Junior),InnovateTech,Miami,We need an experienced Product Owner for exciting projects.,"User Stories, Stakeholder Management, Jira, Agile, Prioritization, Roadmapping, Scrum, Analytics",Product Owner
496,Manual Tester (Junior),CloudFirst,London,We need an experienced Manual Tester for exciting projects.,"Bug Tracking, Jira, Test Plans, Regression Testing, Test Cases, Exploratory Testing, QA",Manual Tester
791,IoT Developer (Principal),SysTech,San Francisco,IoT Developer position with growth opportunities.,"Leadership, Sensors, Problem Solving, Edge Computing, C, Raspberry Pi, Python, MQTT",IoT Developer
797,IoT Developer (Lead),CodeFactory,Toronto,IoT Developer position with growth opportunities.,"Arduino, Sensors, Edge Computing, Embedded Systems, C, IoT, Raspberry Pi, Python",IoT Developer
713,Solutions Architect (Principal),SmartSolutions,Boston,Join us as a Solutions Architect and work on cutting-edge technology.,"Architecture, Cloud, Azure, Integration, AWS, Technical Leadership, Security",Solutions Architect
383,Cybersecurity Analyst (Mid-level),CloudNine,London,Looking for a skilled Cybersecurity Analyst to join our team.,"Incident Response, Team Work, Malware Analysis, Problem Solving, Risk Assessment, SIEM, Threat Analysis, Splunk, Security, Wireshark, Forensics, Compliance",Cybersecurity Analyst
270,Big Data Engineer (Mid-level),CloudNine,New York,Big Data Engineer position with growth opportunities.,"Leadership, Problem Solving, Hive, Scala, Hadoop, SQL, AWS EMR, ETL",Big Data Engineer
643,Business Intelligence Analyst (Principal),MegaSoft,Miami,Join us as a Business Intelligence Analyst and work on cutting-edge technology.,"ETL, Excel, KPIs, Reporting, SQL, Dashboards, Tableau, Data Warehousing",Business Intelligence Analyst
116,React Native Developer (Senior),AIVentures,Berlin,React Native Developer position with growth opportunities.,"REST API, React Native, Firebase, JavaScript, Android, TypeScript, iOS",React Native Developer
786,Game Developer (Junior),DataMind,New York,Join us as a Game Developer and work on cutting-edge technology.,"Physics, 3D Development, Animation, C++, C#, Unreal Engine, Game Design, AI, Unity",Game Developer
941,IT Administrator (Junior),DigitalEdge,Denver,Join us as a IT Administrator and work on cutting-edge technology.,"Linux, Troubleshooting, Office 365, Windows, Active Directory, Security, Support",IT Administrator
718,Solutions Architect (Principal),WebWorks,Singapore,Join us as a Solutions Architect and work on cutting-edge technology.,"Architecture, Cloud, Azure, System Design, Integration, Cost Optimization, AWS, Microservices, Security",Solutions Architect
78,API Developer (Principal),FutureSoft,Los Angeles,API Developer position with growth opportunities.,"REST API, API Design, Express.js, Swagger, JSON, Postman, OAuth, Node.js, Python",API Developer
296,Cloud Engineer (Lead),StartupX,Bangalore,Cloud Engineer position with growth opportunities.,"Kubernetes, Networking, Agile, Docker, Azure, Google Cloud, AWS, Security, Terraform",Cloud Engineer
906,Solutions Engineer (Mid-level),DevHub,Boston,We need an experienced Solutions Engineer for exciting projects.,"Architecture, Technical Pre-sales, Demo, Customer Success, Problem Solving, Cloud, Product Knowledge, Integration, API",Solutions Engineer
289,DevOps Engineer (Junior),DigitalEdge,New York,Join us as a DevOps Engineer and work on cutting-edge technology.,"Kubernetes, Bash, Linux, Ansible, Prometheus, CI/CD, Python, Terraform",DevOps Engineer
194,Computer Vision Engineer (Junior),AppMasters,New York,Join us as a Computer Vision Engineer and work on cutting-edge technology.,"YOLO, Image Processing, CNN, Object Detection, OpenCV, Python, Deep Learning",Computer Vision Engineer
334,Network Engineer (Mid-level),DataMind,Austin,Join us as a Network Engineer and work on cutting-edge technology.,"CCNA, Networking, Switching, VPN, Firewall, Cisco, Security, TCP/IP, Routing",Network Engineer
523,Graphic Designer (Lead),CloudNine,New York,We need an experienced Graphic Designer for exciting projects.,"Branding, Print Design, Adobe Photoshop, Color Theory, Visual Design, InDesign, Digital Design, Typography, Logo Design, Adobe Illustrator",Graphic Designer
544,Visual Designer (Principal),DevHub,Bangalore,Join us as a Visual Designer and work on cutting-edge technology.,"Illustration, Adobe Creative Suite, Agile, Motion Graphics, Visual Design, Figma, Typography, Design Systems",Visual Designer
557,Interaction Designer (Lead),MegaSoft,Singapore,Join us as a Interaction Designer and work on cutting-edge technology.,"UX, Animation, After Effects, Micro-interactions, User Flows, Figma, Prototyping, Design Systems",Interaction Designer
928,Technology Consultant (Senior),FutureSoft,Los Angeles,We need an experienced Technology Consultant for exciting projects.,"Architecture, Digital Transformation, Agile, Cloud, Business, Project Management, Strategy, Technology Consulting, Team Work, Analytics",Technology Consultant
592,Scrum Master (Senior),DigitalEdge,Seattle,Looking for a skilled Scrum Master to join our team.,"Kanban, Jira, Retrospectives, Agile, SAFe, Facilitation, Impediment Removal, Scrum, Team Coaching, Sprint Planning",Scrum Master
306,Site Reliability Engineer (Principal),NetPro,Remote,Join us as a Site Reliability Engineer and work on cutting-edge technology.,"Kubernetes, SLOs, Linux, Prometheus, Monitoring, Grafana",Site Reliability Engineer
673,Technical Writer (Junior),InnovateTech,London,We need an experienced Technical Writer for exciting projects.,"DITA, ReadTheDocs, Developer Experience, Technical Writing, Confluence, Git, Content Strategy, Markdown",Technical Writer
